Alias,VizSkills,StatSkills,MathSkills,ArtSkills,ComputerSkills,ProgrammingSkills,GraphicSkills,HCISkills,UXSkills,ComSkills,CollabSkills,CodeRepoSkills
Brooklyn,4,7,8,4,6,8,5,7,7,10,10,6
Noah,1,2,4,6,5,1,1,1,2,8,7,5
Ryan,3,3,5,2,8,10,10,5,1,10,8,10
Elena,3,2,4,8,3,2,1,2,4,10,9,1
Muhammad,7,4,6,5,9,9,6,3,3,5,8,10
Isaiah,2,3,5,10,9,4,2,3,5,9,8,5
Daniel,4,1,7,1,8,7,7,7,8,9,8,4
Lucas,3,3,5,4,8,4,1,5,4,8,8,3
Isabella,9,3,6,8,10,7,7,6,9,10,10,7
Luke,7,9,9,3,9,7,1,1,3,6,6,6
John,7,4,6,6,8,7,4,6,6,6,7,7
Avery,2,3,7,4,8,6,5,5,5,9,8,5
Wyatt,7,5,7,10,9,4,5,4,7,9,4,5
Mia,5,3,5,7,7,4,3,3,5,8,7,5
Ella,3,1,3,6,8,5,2,6,4,9,9,3
Charlotte,2,5,6,7,9,7,2,7,8,8,8,7
Madison,3,5,5,5,8,4,1,3,8,10,10,5
Victoria,5,5,4,9,8,5,5,5,4,5,4,4
Dylan,4,4,4,2,9,8,3,5,5,8,8,8
Cameron,5,8,8,1,8,9,4,3,1,5,5,10
Caden,2,1,2,5,5,5,1,1,2,3,8,5
Eli,2,8,5,2,9,9,2,8,9,9,9,5
Logan,2,4,5,6,9,8,2,4,5,8,6,7
Riley,1,4,5,5,8,8,1,7,7,10,10,8
Nathan,8,6,4,5,9,8,6,4,4,8,9,9
Anna,5,4,6,7,8,5,2,4,7,10,8,5
Grayson,2,3,6,9,9,5,1,7,7,10,9,5
Mila,1,3,5,1,8,7,2,1,2,8,5,10
Emma,4,4,5,2,8,4,2,4,7,10,8,4
Isaac,5,5,7,7,10,8,6,4,3,8,8,8
Matthew,5,4,6,2,6,6,2,3,1,6,3,7
Kaylee,4,4,6,4,7,4,2,3,6,5,7,3
Leah,1,2,4,3,5,2,1,1,1,10,9,1
Jayden,3,3,4,4,7,7,4,4,4,5,7,6
Ellie,3,2,4,4,9,6,6,4,7,10,10,7
Ethan,2,3,5,2,8,5,1,2,4,7,5,4
Alexander,5,3,4,8,9,8,3,4,5,10,9,10
Brayden,3,5,5,4,9,8,3,7,8,9,8,10
Chloe,3,3,4,8,5,1,1,1,7,7,5,1
Elizabeth,4,7,5,1,8,5,1,4,1,8,7,5
Aria,7,4,6,5,9,6,5,5,6,5,6,8
Amelia,3,3,5,3,9,5,5,8,6,10,9,5
Scarlett,5,5,5,5,6,6,4,6,6,8,8,5
Olivia,2,5,5,7,7,3,4,7,7,10,8,5
Arianna,6,5,6,4,7,6,4,8,8,9,10,6
Hannah,1,5,5,1,5,5,3,1,1,3,4,2
Liam,6,2,6,3,5,5,7,2,2,10,3,8
William,7,3,6,2,8,8,7,3,1,1,7,1
Natalie,3,7,9,2,5,9,3,5,5,3,7,3
Ava,4,3,5,7,8,3,1,3,4,8,8,5
Jacob,3,5,5,6,7,4,3,2,1,8,5,5
Grace,3,1,5,2,8,3,1,5,3,3,8,5
Henry,2,2,5,2,6,1,1,3,7,10,10,5
Mason,1,5,5,3,8,3,1,4,8,10,10,7
Camilla,3,3,5,6,8,6,4,6,7,5,7,8
Owen,3,5,5,5,5,6,4,4,3,5,6,3
Caleb,5,7,8,5,8,6,1,1,1,5,9,5
Maria,5,8,5,8,6,5,1,5,5,4,6,5
Evelyn,2,5,5,2,7,8,1,1,5,9,6,8
Madelyn,2,4,6,2,7,7,1,2,4,8,7,6
Jack,6,4,5,6,8,6,3,7,8,7,8,7
Julian,1,3,6,1,7,5,1,5,5,10,4,6
Lincoln,1,3,5,7,7,3,1,5,8,10,9,2
Nora,6,4,7,7,8,4,1,4,8,10,9,2
Lillian,1,4,5,3,7,5,2,2,2,5,4,5
Michael,9,5,7,3,8,9,8,4,2,2,6,10
Aubrey,1,2,4,6,9,5,3,1,2,3,8,7
Benjamin,4,5,8,5,8,8,2,4,4,8,7,8
Zoe,3,5,4,5,6,3,1,3,4,8,7,2
David,3,4,5,3,6,6,1,5,5,7,7,7
Sarah,2,7,8,7,3,5,1,1,3,6,5,5
Levi,1,6,5,1,7,5,1,5,1,7,4,5
Elijah,6,4,5,6,8,3,1,4,5,8,10,4
Lily,2,4,7,4,8,5,3,3,3,5,7,4
Hailey,2,4,4,4,6,4,1,1,4,5,6,1
James,2,4,5,5,6,6,3,3,2,5,4,5
Andrew,3,6,8,2,5,2,2,4,2,8,8,2
Jayce,7,4,4,6,9,7,5,5,5,5,6,3
Carter,3,3,3,2,8,5,3,5,7,8,8,7
Sophia,3,3,4,3,6,5,3,4,3,5,5,4
Christian,4,6,5,7,8,4,1,4,9,10,9,5
Abigail,3,5,5,3,6,7,2,4,5,7,7,6
Sebastian,2,5,9,3,8,9,1,1,3,10,8,10
Nicholas,3,4,6,2,6,5,1,3,3,5,5,5
Emily,2,2,4,5,7,3,1,3,6,7,6,5
Harper,1,5,5,7,5,5,1,3,5,8,9,5
Jackson,2,5,5,6,7,4,1,5,8,8,8,5
Addison,2,9,2,2,10,10,1,4,5,10,10,10